Name,Scopus_ID,Scopus_name
ENRIQUE MENDOZA,7006157135,"Mendoza, Enrique Gabriel"
ERIC GHYSELS,55943976800,"Rudebusch, Glenn D."
ERIC SWANSON,14632412700,"Pettenuzzo, Davide"
ERIC YOUNG,16744833200,"Young, Eric R."
ERIK HEITFIELD,6505875159,"Heitfield, Erik A."
ERIK HURST,6701835571,"Hurst, Erik G."
ESLYN JEAN-BAPTISTE,6603221027,"Jean-Baptiste, Eslyn L."
ETSURO SHIOJI,15077297000,"Shioji, Etsuro"
EVA CARCELES-POVEDA,23049372600,"Cárceles-Poveda, Eva"
FABIO NATALUCCI,16242270200,"Natalucci, Fabio M."
FABIO PANETTA,57190089282,"Panetta, Fabio"
FALLAW SOWELL,6506316171,"Sowell, Fallaw B."
FELIX KUBLER,24376751800,"Landier, Augustin"
FERNANDO FERREIRA,37115389700,"Ferreira, F. A.F."
FRANCIS LONGSTAFF,7101932744,"Stanton, Richard Henry"
FRANCOIS GOURIO,18434075200,"Gourio, François"
FRANCOIS ORTALO-MAGNE,6603092424,"Ortalo-Magné, François"
FRANK KLEIBERGEN,6602471781,"Kleibergen, Frank"
FRANK SLOAN,7102421705,"Sloan, Frank A."
FREDERIC LAMBERT,,
GADI BARLEVY,7004336434,"Gallant, A. Ronald"
GAREY RAMEY,7006653663,"Ramey, Garey"
GAUTI EGGERTSON,6603904420,"Eggertsson, Gauti Bergþóruson"
GAUTI EGGERTSSON,6603904420,"Eggertsson, Gauti Bergþóruson"
GENE AMROMIN,6602383706,"Amromin, Gene"
GERARD HOBERG,6602168996,"Paap, Richard"
GIAN LUCA CLEMENTI,6602627828,"Livdan, Dmitry O."
GIAN-MARIA MILESI-FERETTI,6602186194,"Milesi-Ferretti, Gian Maria"
GIANCARLO CORSETTI,6701579737,"Corsetti, Giancarlo"
GIANLUCA BENIGNO,7801423938,"Benigno, Gianluca"
GIANNI DE NICOLÒ,6603377530,"De Nicoló, Gianni"
GITA GOPINATH,8716236500,"Gopinath, Gita"
GRACE WONG,36524355700,"Wong, Grace"
GRAHAM ELLIOTT,6603699363,"Hernando, Ignacio"
GUHAN SUBRAMANIAN,7103332168,"Subramanian, Guhan"
GUILLAUME PLANTIN,24279001700,"Plantin, Guillaume"
GUILLERMO CALVO,8083911100,"Celasun, Oya"
HAL COLE,56817076200,"Mishra, Prachi"
HAROLD ZHANG,7409199863,"Zhang, Harold H."
HENNING BOHN,7102260860,"Bohn, Henning"
HENRY POLLAKOWSKI,6603198573,"Pollakowski, Henry O."
HOAI-LUU NGUYEN,57207449819,"Nguyen, Hoai Luu Q."
HONG LI,36473298100,"Li, Hong"
HUIGANG CHEN,55322470600,"Chen, Huigang"
HYUN SONG SHIN,7006157135,"Mendoza, Enrique Gabriel"
IGNAZIO ANGELONI,6506488465,"Angeloni, Ignazio"
ILAN GUEDJ,54405610300,"Guedj, Ilan"
ILYANA KUZIEMKO,10738853700,"Kuziemko, Ilyana"
INESSA LOVE,6602194874,"Love, Inessa"
ITZHAK BEN-DAVID,9038926700,"Ben-David, Itzhak"
IVANA KOMUNJER,8605234200,"Komunjer, Ivana"
IVO WELCH,7003982192,"Welch, Ivo"
JAE SIM,55241057600,"Sim, Jae W."
JAMES MORLEY,7403144169,"Morley, James"
JAMES NASON,11240439300,"Onatski, Alexei"
JAMES STOCK,55896944200,"Polkovnichenko, Valery"
JAN GROEN,57216792366,"Groen, Jan J.J."
JAN HATZIUS,6505931225,"Hatzius, Jan"
JASON G. CUMMINS,7102212488,"Cummins, Jason G."
JEAN BOIVIN,56234827000,"Gentry, William M."
JEAN-FRANCOIS RICHARD,57202768604,"Richard, Jean François"
JEAN-PASCAL BENASSY,57202373452,"Bénassy, Jean Pascal"
JEROMIN ZETTLEMEYER,6505980452,"Zettelmeyer, Jeromin"
JERRY HAUSMAN,7006286384,"Hausman, Jerry A."
JESPER LINDE,7005169548,"Sala, Luca"
JESS BENHABIB,6701711758,"Schmitt-Grohé, Stephanie"
JESUS FERNANDEZ-VILLAVERDE,8148111900,"Fernández-Villaverde, Jesús"
JESUS VILLAVERDE,8148111900,"Fernández-Villaverde, Jesús"
JINYONG HAHN,7202494215,"Hahn, Jinyong"
JOE GYOURKO,6601926430,"Gyourko, Joseph E."
JOHN BOYD,13310394600,"Boyd, John Hayden"
JOHN COATES IV,7101948106,"Coates, John C."
JOHN DRISCOLL,7103039821,"Forbes, Kristin J."
JOHN HALTIWANGER,6701823402,"Haltiwanger, John C."
JOHN HEATON,7102998555,"Heaton, John C."
JOHN LAITNER,24458283300,"Laitner, John P."
JOHN M. ROBERTS,56331824300,"Roberts, John M."
JOHN MOORE,55733557800,"Moore, John"
JOHN P. CONLEY,7202572902,"Conley, John P."
JOHN ROGERS,7404268367,"Rogers, John H."
JON FAUST,7102700712,"Faust, Jon"
JON STROUD,7006272322,"Stroud, Jonathan R."
JONATHAN WILLIS,7103199946,"Bond, Philip"
JONATHAN WRIGHT,55441644600,"Wright, Jonathan H."
JORDI GALI,56154737700,"Hollifield, Burton"
JOSE LIBERTI,6603968952,"Bassetto, Marco"
