node,neighborhood_5,neighborhood_15,neighborhood_25,neighborhood_35,neighborhood_45,neighborhood_55,neighborhood_65,neighborhood_75,neighborhood_85,neighborhood_95,degree,eigenvector
7403216982,0.12406952942747072,0.6123583704157324,2.2514748573303223,8.53831790282577,29.480011328244114,88.46404448883992,233.4526398903051,554.2719283103943,1208.3312484754495,2457.8232110056247,7,3.696687162786807e-05
7403233362,1.152532669542969,8.902563350191405,31.417808532714844,81.99114633836327,180.13324560338668,353.3868948690353,639.5998669715586,1089.755012512207,1771.4741372472304,2773.3322574778786,19,0.02753153189538022
7403236020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-1.1546791547662163e-19
7403253898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,8.502417712537086e-20
7403264608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,-8.079274863260099e-23
7403270197,0.7467278107519532,6.165580015458985,23.899723052978516,67.18091200768554,156.10174787645508,319.56437039366216,597.6808518561817,1044.7350883483887,1732.838261567158,2756.4340356468647,10,0.011854617191633091
7403282001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.2078127193572327e-20
7403284465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,9.443362540519226e-20
7403288689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.5934092881105842e-19
7403325680,0.1764497982169922,2.4252411898552735,11.852170944213867,38.97920256791776,102.38650928184201,232.02728221011157,473.4114223471015,892.9034786224365,1584.4532441439917,2678.163899018892,3,0.0035376183497333783
7403328860,3.588884141054688,21.240631272304682,61.89884948730469,139.57160726605468,272.61476727855467,484.69491678480483,805.9396924348048,1274.3134002685547,1937.2602669160547,2853.6620931973043,59,0.10312655632713416
7403346056,0.37485698015253915,3.3669220898806644,14.957147598266602,46.84893963256034,118.41041658176194,259.4212240006214,513.5783090916386,942.9822635650635,1633.883390396896,2704.034357364886,15,0.003740674891262805
7403347444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-4.252093827828183e-20
7403354876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1.9697206961653535e-20
7403358368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1.4956676998082593e-19
7403364245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.596923186922946e-20
7403387332,0.3881186147773438,3.978900746988281,17.33855438232422,52.568644344535144,129.2079518923711,276.77525590958214,537.965272894918,972.6602554321289,1662.9448681799643,2719.339257062175,5,0.007751791825421242
7403392214,0.6304276153771485,5.116889340710742,19.43939781188965,54.92591419428885,130.29624623253343,274.4998841294983,530.3349558033084,959.0545635223389,1646.2169522382142,2709.0944944968096,9,0.004546583221844316
7403393366,1.528816902777344,10.837004176535155,36.74864959716797,93.31598424342576,200.34790248905858,384.81124673281647,682.5762917284493,1140.599739074707,1819.6542975453397,2797.7304158190977,20,0.0344092862429422
7403395923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.608526911036016e-20
7403452081,2.019888946964844,12.82705781980078,40.69438934326172,99.17120668609765,207.4290138120586,391.84711226989464,687.9911543833556,1143.0739517211914,1819.0065258871518,2796.1682341099886,28,0.0444952298115973
7403472292,0.1,0.3,0.5,0.7,0.9,1.1,1.3,1.5,1.7,1.9,5,4.633885612488692e-20
7403472823,0.16103750000000003,0.5700375,1.1484375,1.9730374999999998,3.1350375,4.740037500000001,6.908037500000001,9.7734375,13.485037499999997,18.206037499999997,3,-1.0386581448678021e-19
7403479980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-4.8496753566677223e-20
7403492092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-5.3799599567832545e-20
7403524868,0.9050528496660157,6.039739522201171,21.771137237548828,60.161227370083964,140.40251695668167,291.33965958171694,554.7029420620646,989.2360496520996,1675.9357823286969,2724.6599204762315,15,0.010849258055297286
7403531400,0.8721174052441407,6.950432186513671,25.772327423095703,70.39845343186522,160.71453765219727,325.37582407096687,604.1980872475489,1051.1039085388184,1737.7547757241502,2758.0232552304196,10,0.014089827299308149
7403536371,1.1869348794921875,8.627046199804687,30.473190307617188,80.39886346542966,178.4918437857422,352.9147722310548,641.8636696138674,1095.8712615966797,1780.5080316919918,2779.5399702623045,17,0.016830780192636827
7403542084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9.62462891026984e-20
7403596034,1.6224665287539064,10.50476372907422,34.51441192626953,86.97563501158983,187.31167912128515,362.85156236660555,651.1194801638009,1102.728904724121,1785.0211983838162,2786.6070673341364,22,0.016273723300713878
7403613460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-2.615643317611527e-20
7403644803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6.706270478226477e-20
7403656319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-9.751938994278433e-20
7403664443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-8.239790421342826e-20
7403665537,0.05,0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95,1,-2.9181839369807296e-19
7403703776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-1.2472996800697118e-19
7403704966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,-3.0257218150002955e-20
7403713601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-5.428903262227975e-20
7403881613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-6.099378127133836e-20
7403905632,0.4,1.2,2.0,2.8,3.6,4.4,5.2,6.0,6.8,7.6,8,8.339481502439495e-19
7403912861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.631276359717697e-21
